model,scenario_id,n_masts,shapley_source_evidence,shapley_sensor_visibility,shapley_wind_error_sensitivity,shapley_fit_quality,v_all_maps,v_no_maps,efficiency_residual
DeepSets,ch4t-test-000158,10,0.015843,1.142699,-0.054634,0.194683,-6.920564,-8.219156,0.000e+00
DeepSets,ch4t-test-000159,4,1.883253,0.653485,0.236452,0.471192,-5.137153,-8.381534,4.441e-16
DeepSets,ch4t-test-000160,9,1.635729,0.398371,0.427676,0.920485,-4.667073,-8.049334,0.000e+00
DeepSets,ch4t-test-000161,6,0.516444,0.720384,0.514865,0.283357,-6.174807,-8.209858,0.000e+00
DeepSets,ch4t-test-000162,8,1.822647,-0.377466,-0.087479,-0.289485,-6.626496,-7.694714,0.000e+00
DeepSets,ch4t-test-000163,11,1.302616,0.867899,0.520393,0.555982,-4.808458,-8.055349,0.000e+00
DeepSets,ch4t-test-000164,9,-0.083093,-0.803115,2.037855,-0.463905,-7.080480,-7.768222,1.110e-16
DeepSets,ch4t-test-000165,6,3.002112,-0.326280,-0.833359,0.520429,-5.858289,-8.221192,0.000e+00
DeepSets,ch4t-test-000166,8,0.114123,-0.924664,0.812068,-0.450916,-8.180733,-7.731343,1.110e-16
DeepSets,ch4t-test-000167,12,1.238802,1.370709,-0.003449,0.785728,-4.999447,-8.391237,0.000e+00
DeepSets,ch4t-test-000168,12,1.743754,-0.311734,1.413144,-0.186444,-4.942747,-7.601468,8.882e-16
DeepSets,ch4t-test-000169,4,1.072597,-0.125855,0.829927,0.580195,-5.750205,-8.107068,0.000e+00
DeepSets,ch4t-test-000170,10,2.394668,-0.085717,1.581208,-0.169715,-4.532485,-8.252929,4.441e-16
DeepSets,ch4t-test-000171,6,-0.160993,0.340835,-0.227554,0.112112,-8.375795,-8.440195,6.939e-17
DeepSets,ch4t-test-000172,5,1.838283,0.521999,0.048544,0.681191,-4.913265,-8.003281,4.441e-16
DeepSets,ch4t-test-000173,12,0.056409,-0.540518,0.358891,0.096330,-7.961405,-7.932517,2.776e-17
DeepSets,ch4t-test-000174,10,1.724477,0.756877,0.050135,0.936856,-4.724974,-8.193319,0.000e+00
DeepSets,ch4t-test-000175,10,-0.225690,0.744737,-0.163117,0.321824,-7.497019,-8.174772,0.000e+00
DeepSets,ch4t-test-000176,7,1.958037,-0.159129,0.403560,0.341649,-4.404457,-6.948574,4.441e-16
DeepSets,ch4t-test-000177,6,2.472883,-0.314380,0.450421,0.864551,-4.536076,-8.009551,0.000e+00
